id,image,mask,role,source
Image_01L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_01L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_01L.png,train,chase_db1
Image_01R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_01R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_01R.png,train,chase_db1
Image_02L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_02L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_02L.png,train,chase_db1
Image_02R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_02R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_02R.png,train,chase_db1
Image_03L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_03L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_03L.png,train,chase_db1
Image_03R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_03R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_03R.png,train,chase_db1
Image_04L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_04L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_04L.png,train,chase_db1
Image_04R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_04R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_04R.png,train,chase_db1
Image_05L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_05L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_05L.png,train,chase_db1
Image_05R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_05R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_05R.png,train,chase_db1
Image_06L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_06L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_06L.png,train,chase_db1
Image_06R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_06R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_06R.png,train,chase_db1
Image_07L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_07L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_07L.png,train,chase_db1
Image_07R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_07R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_07R.png,train,chase_db1
Image_08L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_08L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_08L.png,train,chase_db1
Image_08R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_08R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_08R.png,train,chase_db1
Image_09L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_09L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_09L.png,train,chase_db1
Image_09R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_09R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_09R.png,train,chase_db1
Image_10L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_10L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_10L.png,train,chase_db1
Image_10R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_10R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_10R.png,train,chase_db1
Image_11L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_11L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_11L.png,train,chase_db1
Image_11R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_11R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_11R.png,train,chase_db1
Image_12L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_12L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_12L.png,train,chase_db1
Image_12R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_12R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_12R.png,train,chase_db1
Image_13L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_13L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_13L.png,train,chase_db1
Image_13R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_13R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_13R.png,train,chase_db1
Image_14L,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_14L.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_14L.png,train,chase_db1
Image_14R,/N/u/hungill/Quartz/datasets/fundus/chase_db1/images/Image_14R.jpg,/N/u/hungill/Quartz/datasets/fundus/chase_db1/masks/Image_14R.png,train,chase_db1
100_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/100_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/100_A.png,train,fives
100_D,/N/u/hungill/Quartz/datasets/fundus/fives/images/100_D.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/100_D.png,train,fives
101_A,/N/u/hungill/Quartz/datasets/fundus/fives/images/101_A.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/101_A.png,train,fives
101_G,/N/u/hungill/Quartz/datasets/fundus/fives/images/101_G.png,/N/u/hungill/Quartz/datasets/fundus/fives/masks/101_G.png,train,fives
